State,First Start,Online,Offline
Delaware,Jun-18,,Jun-18
New Jersey,Jun-18,Aug-18,Jun-18
Mississippi,Aug-18,,Aug-18
West Virginia,Aug-18,Aug-18,Aug-18
New Mexico,Oct-18,,Oct-18
Pennsylvania,Nov-18,May-19,Nov-18
Rhode Island,Nov-18,Sep-19,Nov-18
Arkansas,Jul-19,Mar-22,Jul-19
New York,Jul-19,Jan-22,Jul-19
Iowa,Aug-19,Aug-19,Aug-19
Indiana,Sep-19,Oct-19,Sep-19
Oregon,Oct-19,Oct-19,
New Hampshire,Dec-19,Dec-19,Aug-20
Illinois,Mar-20,Jun-20,Mar-20
Michigan,Mar-20,Jan-21,Mar-20
Montana,Mar-20,Mar-20,
Colorado,May-20,May-20,May-20
District of Columbia,May-20,May-20,Jul-20
Tennessee,Nov-20,Nov-20,
Virginia,Jan-21,Jan-21,
North Carolina,Mar-21,,Mar-21
North Dakota,Jun-21,,Jun-21
Arizona,Sep-21,Sep-21,Sep-21
South Dakota,Sep-21,,Sep-21
Washington,Sep-21,,Sep-21
Wyoming,Sep-21,Sep-21,
Connecticut,Oct-21,Oct-21,Oct-21
Louisiana,Nov-21,Jan-22,Nov-21
Wisconsin,Nov-21,Nov-21,
Maryland,Dec-21,Dec-22,Dec-21
Kansas,Sep-22,Sep-22,Sep-22
Massachusetts,Jan-23,Mar-23,Jan-23
Ohio,Jan-23,Jan-23,Jan-23